#tail	head	KSP index
P04626	P40763	1
P04626	P42224	2
P48357	P40763	3
P08069	P27986	4
P27986	Q07666	4
P27986	P40763	5
P27986	P42229	6
P27986	P03372	7
P04626	P62993	8
P62993	Q07666	8
P04626	P00519	9
P00519	Q09472	9
P00519	P42229	10
P00519	P51692	11
P00519	P08047	12
P08069	P19174	13
P19174	Q07666	13
P48357	P12931	14
P12931	Q07666	14
P12931	P40763	15
P12931	O14920	16
P12931	P42229	17
P12931	P42224	18
P12931	P08047	19
P08069	P46108	20
P46108	P42229	20
P46108	P51692	21
P46108	P08047	22
P48357	P06241	23
P06241	Q07666	23
P06241	P40763	24
P06241	P08047	25
P04626	P20936	26
P20936	Q07666	26
P08069	O14543	27
O14543	P40763	27
P08069	P63244	28
P63244	P40763	28
P08069	P27361	29
P27361	P40763	29
P08069	P35222	30
P35222	Q09472	30
P08069	P63104	31
P63104	Q9Y6K9	31
P08069	P61981	32
P61981	Q12778	32
P08069	O00459	33
O00459	P40763	33
P08069	Q06124	34
Q06124	P40763	34
P08069	P48357	35
P08069	P31946	36
P31946	O14920	36
P08069	P28482	37
P28482	P40763	37
P08069	P18031	38
P18031	P40763	38
P08069	P48736	39
P48736	P40763	39
P08069	O00329	40
O00329	P40763	40
P08069	P42338	41
P42338	P40763	41
P08069	P42336	42
P42336	P40763	42
P08069	Q92569	43
Q92569	P40763	43
P08069	P16473	44
P16473	P40763	44
P08069	O14508	45
O14508	P40763	45
O14543	P42229	46
O14543	P42224	47
O14543	P51692	48
P04626	Q15303	49
Q15303	P42229	49
Q15303	P51692	50
P04626	O15524	51
O15524	P40763	51
O15524	Q04206	52
O15524	P42229	53
O15524	P42224	54
O15524	P51692	55
P04626	P00533	56
P00533	P40763	56
P00533	P42229	57
P00533	P42224	58
P00533	P51692	59
P63244	Q9Y6K9	60
P63244	P42224	61
P04626	P27986	62
P04626	P19174	63
P04626	P46108	64
P04626	P27361	65
P04626	P35222	66
P04626	P01106	67
P01106	Q9Y6K9	67
P04626	Q16665	68
Q16665	Q09472	68
P04626	O00459	69
P04626	P23458	70
P23458	P40763	70
P04626	Q06124	71
P04626	P48357	72
P04626	P40189	73
P40189	P40763	73
P04626	O60674	74
O60674	P40763	74
P04626	P46109	75
P46109	P42229	75
P04626	P28482	76
P04626	Q9NSE2	77
Q9NSE2	P40763	77
P04626	P48736	78
P04626	O00329	79
P04626	P42338	80
P04626	P42336	81
P04626	Q92569	82
P04626	Q13882	83
Q13882	Q07666	83
P04626	P46940	84
P46940	O14920	84
P27361	Q04206	85
P27361	P42224	86
P27361	P03372	87
P27361	Q12778	88
P40763	Q07666	89
P40763	Q13950	90
P40763	Q15788	91
P40763	Q04206	92
P40763	P42229	93
P40763	P42224	94
P40763	P03372	95
P40763	P51692	96
P40763	P08047	97
P40763	Q12778	98
P35222	O14920	99
P63104	Q12778	100
P01106	Q04206	101
P48357	Q9Y478	102
Q9Y478	Q12778	102
Q16665	P08047	103
P48357	P52333	104
P52333	Q07666	104
P52333	P40763	105
P52333	P42229	106
P52333	P42224	107
P52333	P51692	108
O00459	P42229	109
P23458	P42229	110
P23458	P42224	111
P23458	P51692	112
Q06124	P42229	113
Q06124	P51692	114
P48357	P27986	115
P48357	P62993	116
P48357	P04626	117
P48357	O00459	118
P48357	Q06124	119
P48357	O60674	120
P48357	Q15831	121
Q15831	Q12778	121
P48357	Q9NSE2	122
P48357	O43741	123
O43741	Q12778	123
P48357	Q9UGI9	124
Q9UGI9	Q12778	124
P48357	P54646	125
P54646	Q12778	125
P48357	P54619	126
P54619	Q12778	126
P48357	Q13131	127
Q13131	Q12778	127
P48357	Q9UGJ0	128
Q9UGJ0	Q12778	128
P40189	P42224	129
O60674	P42229	130
O60674	P42224	131
O60674	P03372	132
O60674	P51692	133
P46109	P51692	134
P42224	P40763	135
P42224	P42229	136
P42224	P51692	137
P28482	Q04206	138
P28482	P42224	139
P28482	P03372	140
P28482	Q12778	141
P18031	P42229	142
P18031	P03372	143
P18031	P51692	144
Q9NSE2	P42229	145
Q9NSE2	P42224	146
Q9NSE2	P51692	147
Q13882	P51692	148
O14508	P42229	149
O14508	P42224	150
O14508	P51692	151
P00533	P03372	152
P01106	Q09472	153
P01106	P08047	154
P08069	P62993	155
P08069	P46109	156
P48357	P23458	157
P48357	P29597	158
P29597	P40763	158
P29597	P42229	159
P29597	P42224	160
P29597	P51692	161
P08069	P40763	162
P08069	P03372	163
P08069	Q05655	164
Q05655	P40763	164
P04626	P12931	165
P04626	P43405	166
P43405	P42224	166
Q05655	P42224	167
Q05655	P08047	168
P35222	Q12778	169
P12931	P10275	170
P10275	P40763	170
P10275	Q13950	171
P10275	Q15788	172
P10275	P03372	173
P10275	P08047	174
P10275	Q12778	175
P00519	P16333	176
P16333	P08047	176
P27986	P62993	177
P27986	P00519	178
P27986	P19174	179
P27986	P00533	180
P27986	O15530	181
O15530	O14920	181
P27986	P63104	182
P27986	P61981	183
P27986	P63000	184
P63000	P40763	184
P27986	P38398	185
P38398	Q09472	185
P27986	P16871	186
P16871	P40763	186
P27986	P21333	187
P21333	Q9Y6K9	187
P27986	P61978	188
P61978	Q07666	188
P27986	Q14790	189
Q14790	Q9Y6K9	189
P27986	P19793	190
P19793	Q15788	190
P27986	P37173	191
P37173	P08047	191
P27986	P46531	192
P46531	Q09472	192
P27986	O00459	193
P27986	Q06124	194
P27986	P42345	195
P42345	P40763	195
P27986	Q9Y243	196
Q9Y243	Q9Y6K9	196
P27986	P16471	197
P16471	P42229	197
P27986	P48357	198
P27986	P15509	199
P15509	O14920	199
P27986	Q9Y4K3	200
Q9Y4K3	Q9Y6K9	200
P27986	P0CG47	201
P0CG47	Q9Y6K9	201
P27986	P25963	202
P25963	Q04206	202
P27986	P29350	203
P29350	Q07666	203
P27986	Q92918	204
Q92918	O14920	204
P27986	P31749	205
P31749	Q9Y6K9	205
P27986	P48736	206
P27986	O00329	207
P27986	P42338	208
P27986	P42336	209
P27986	Q92569	210
P27986	P14778	211
P14778	Q04206	211
P27986	Q05513	212
Q05513	Q04206	212
P27986	P31751	213
P31751	Q9Y6K9	213
P27986	O15360	214
O15360	O14920	214
P27986	P15498	215
P15498	Q07666	215
P27986	P30086	216
P30086	O14920	216
P27986	P16473	217
P27986	Q9Y6Q6	218
Q9Y6Q6	Q04206	218
P62993	P27986	219
P62993	P19174	220
P62993	P46108	221
P62993	P06241	222
P62993	O15524	223
P62993	Q14289	224
Q14289	P40763	224
P62993	P00533	225
P62993	P42858	226
P42858	P08047	226
P62993	P27361	227
P62993	Q13153	228
Q13153	P03372	228
P62993	P63104	229
P62993	P19438	230
P19438	Q9Y6K9	230
P62993	P35580	231
P35580	Q9Y6K9	231
P62993	P62829	232
P62829	Q9Y6K9	232
P62993	P84022	233
P84022	Q13950	233
P62993	P22681	234
P22681	Q07666	234
P62993	Q13233	235
Q13233	Q04206	235
P62993	P08238	236
P08238	Q9Y6K9	236
P62993	P21333	237
P62993	Q9Y478	238
P62993	O00459	239
P62993	P23458	240
P62993	Q06124	241
P62993	P48357	242
P62993	O60674	243
P62993	P09651	244
P09651	Q07666	244
P62993	P46109	245
P62993	O43707	246
O43707	Q04206	246
P62993	P58107	247
P58107	Q9Y6K9	247
P62993	P07949	248
P07949	P40763	248
P62993	P0CG47	249
P62993	P29350	250
P62993	P28482	251
P62993	P11142	252
P11142	Q9Y6K9	252
P62993	P62263	253
P62263	Q9Y6K9	253
P62993	Q92918	254
P62993	P62249	255
P62249	Q9Y6K9	255
P62993	P11021	256
P11021	Q9Y6K9	256
P62993	P35579	257
P35579	Q9Y6K9	257
P62993	P18031	258
P62993	P61247	259
P61247	Q9Y6K9	259
P62993	Q16643	260
Q16643	Q9Y6K9	260
P62993	O15360	261
P62993	P04792	262
P04792	Q04206	262
P62993	Q92922	263
Q92922	Q15788	263
P62993	P46782	264
P46782	Q9Y6K9	264
P62993	P60866	265
P60866	Q9Y6K9	265
P62993	P15498	266
P62993	P78527	267
P78527	Q9Y6K9	267
P62993	P46940	268
P62993	P60660	269
P60660	Q9Y6K9	269
P62993	P20963	270
P20963	P42229	270
P62993	P10809	271
P10809	Q9Y6K9	271
P62993	O00159	272
O00159	Q9Y6K9	272
P62993	Q13557	273
Q13557	Q9Y6K9	273
P62993	Q9UM54	274
Q9UM54	Q9Y6K9	274
P00519	P27986	275
P00519	P62993	276
P00519	P19174	277
P00519	P46108	278
P00519	P06241	279
P00519	P08631	280
P08631	Q07666	280
P00519	Q15303	281
P00519	P00533	282
P00519	P04626	283
P00519	P04637	284
P04637	Q09472	284
P00519	Q13315	285
Q13315	Q9Y6K9	285
P00519	P35222	286
P00519	P63104	287
P00519	P61981	288
P00519	P01106	289
P00519	P22681	290
P00519	P21333	291
P00519	Q9UN86	292
Q9UN86	Q04206	292
P00519	P46109	293
P00519	Q04917	294
Q04917	Q04206	294
P00519	P31946	295
P00519	Q92918	296
P00519	P18031	297
P00519	O15350	298
O15350	Q09472	298
P00519	P05412	299
P05412	P40763	299
P00519	Q7Z434	300
Q7Z434	Q9Y6K9	300
P00519	P15498	301
P00519	P15941	302
P15941	Q9Y6K9	302
P19174	P62993	303
P19174	P00519	304
P19174	P12931	305
P19174	P10721	306
P10721	P42229	306
P19174	P63000	307
P19174	P22681	308
P19174	P21333	309
P19174	P52333	310
P19174	Q13588	311
Q13588	Q07666	311
P19174	P05771	312
P05771	O14920	312
P19174	O60674	313
P19174	P07949	314
P19174	Q92918	315
P19174	P62158	316
P62158	Q9Y6K9	316
