#tail	head	KSP index
P16871	P40763	1
P16871	P42229	2
P16871	P51692	3
P16871	P27986	4
P27986	P40763	4
P27986	P42229	5
P16871	P06241	6
P06241	P40763	6
P16871	Q14289	7
Q14289	P40763	7
P16871	P10721	8
P10721	P42229	8
P10721	P51692	9
P40763	P42229	10
P40763	P51692	11
P16871	Q04206	12
Q04206	P40763	12
P16871	P52333	13
P52333	P40763	13
P16871	P23458	14
P23458	P40763	14
P16871	O60674	15
O60674	P40763	15
P16871	P29597	16
P29597	P40763	16
P52333	P42229	17
P52333	P51692	18
P31785	O00459	19
O00459	P40763	19
O00459	P42229	20
P23458	P42229	21
P23458	P51692	22
P42229	P40763	23
P42229	P51692	24
P31785	P27986	25
P31785	P16871	26
P31785	P52333	27
P31785	P23458	28
P31785	P14784	29
P14784	P40763	29
P31785	O60674	30
P31785	P29597	31
P31785	P48736	32
P48736	P40763	32
P31785	O00329	33
O00329	P40763	33
P31785	P42338	34
P42338	P40763	34
P31785	P42336	35
P42336	P40763	35
P31785	Q92569	36
Q92569	P40763	36
P14784	P42229	37
P14784	P51692	38
O60674	P42229	39
O60674	P51692	40
P29597	P42229	41
P29597	P51692	42
P51692	P40763	43
P51692	P42229	44
P10721	P40763	45
P31785	P01589	46
P01589	P42229	46
P01589	P51692	47
P40763	P10275	48
P10275	P40763	48
P27986	P00519	49
P00519	P42229	49
P27986	Q07666	50
Q07666	P40763	50
P27986	P00533	51
P00533	P40763	51
P27986	P63000	52
P63000	P40763	52
P27986	P16871	53
P27986	P19793	54
P19793	P42229	54
P27986	O00459	55
P27986	Q06124	56
Q06124	P40763	56
P27986	P42345	57
P42345	P40763	57
P27986	P16471	58
P16471	P42229	58
P27986	P48357	59
P48357	P40763	59
P27986	P03372	60
P03372	P40763	60
P27986	P48736	61
P27986	O00329	62
P27986	P42338	63
P27986	P42336	64
P27986	Q92569	65
P27986	P16473	66
P16473	P40763	66
P00519	P51692	67
Q14289	P12931	68
P12931	P40763	68
P12931	P42229	69
Q14289	P46108	70
P46108	P42229	70
P46108	P51692	71
P06241	P27986	72
P06241	P00519	73
P06241	O15524	74
O15524	P40763	74
P06241	Q14289	75
P06241	Q07666	76
P06241	P10721	77
P06241	P16871	78
P06241	O00459	79
P06241	P16471	80
P06241	P48357	81
P06241	P14784	82
P06241	P40189	83
P40189	P40763	83
P06241	O60674	84
P06241	P08047	85
P08047	P40763	85
P06241	P48736	86
