#tail	head	KSP index
P10721	P42229	1
P10721	P42224	2
P10721	P51692	3
P16871	P42229	4
P16871	P51692	5
P32927	P42229	6
P10721	P27986	7
P27986	P00519	7
P27986	P42229	8
P10721	P19174	9
P19174	P00519	9
P10721	P12931	10
P12931	P00519	10
P12931	P42229	11
P12931	P42224	12
P10721	P46108	13
P46108	P00519	13
P46108	P42229	14
P46108	P51692	15
P10721	P06241	16
P06241	P00519	16
P10721	P08631	17
P08631	P00519	17
P10721	O15524	18
O15524	P42229	18
O15524	P42224	19
O15524	P51692	20
P10721	Q99704	21
Q99704	P00519	21
P10721	P16871	22
P10721	P52333	23
P52333	P42229	23
P10721	P29353	24
P29353	O43524	24
P10721	O00459	25
O00459	P42229	25
P10721	Q06124	26
Q06124	P42229	26
P10721	O60674	27
O60674	P42229	27
P10721	P46109	28
P46109	P00519	28
P10721	P15498	29
P15498	P00519	29
P10721	Q8WXH5	30
Q8WXH5	P42229	30
P10721	O75159	31
O75159	P42229	31
P10721	O14544	32
O14544	P42229	32
P32927	P63244	33
P63244	P42224	33
P16871	P40763	34
P40763	P42229	34
P40763	P42224	35
P40763	P51692	36
Q92729	P35222	37
P35222	P00519	37
P35222	Q09472	38
P32927	P63104	39
P63104	P00519	39
P63104	O43524	40
P32927	P50570	41
P50570	P00519	41
P16871	P27986	42
P16871	P06241	43
P16871	P10721	44
P16871	Q04206	45
Q04206	Q09472	45
P16871	P52333	46
P16871	P23458	47
P23458	P42229	47
P16871	O60674	48
P16871	P29597	49
P29597	P42229	49
P52333	P42224	50
P52333	P51692	51
P19235	P10721	52
P19235	P52333	53
P19235	P23458	54
P19235	O60674	55
P19235	P29597	56
P19235	P18031	57
P18031	P00519	57
P19235	Q9NSE2	58
Q9NSE2	P42229	58
P23458	P42224	59
P23458	P51692	60
Q06124	P51692	61
P42229	P42224	62
P42229	P51692	63
P32927	P27986	64
P32927	P06241	65
P32927	P08631	66
P32927	P10721	67
P32927	P29353	68
P32927	O00459	69
P32927	P23458	70
P32927	Q06124	71
P32927	O60674	72
P32927	Q9NSE2	73
O60674	P42224	74
O60674	P51692	75
P46109	P42229	76
P46109	P51692	77
P29597	P42224	78
P29597	P51692	79
P42224	P42229	80
P42224	P51692	81
P51692	P42229	82
P51692	P42224	83
P18031	P42229	84
P18031	P51692	85
Q9NSE2	P42224	86
Q9NSE2	P51692	87
O00220	Q13158	88
Q13158	P42224	88
Q8WXH5	P42224	89
Q8WXH5	P51692	90
O75159	P42224	91
O75159	P51692	92
O14544	P42224	93
O14544	P51692	94
Q92729	P10721	95
P10721	P32927	96
P10721	P40763	97
P40763	O43524	98
P32927	P11274	99
P11274	P42229	99
P11274	P51692	100
P32927	P52333	101
P32927	P29597	102
P16871	P42224	103
P32927	P43405	104
P43405	P42224	104
P27986	Q9NQ76	105
Q9NQ76	P00519	105
P10721	P22681	106
P22681	P16333	106
P16333	P00519	106
P27986	P19174	107
P27986	Q07890	108
Q07890	P00519	108
P27986	P00533	109
P00533	P00519	109
P27986	Q99704	110
P27986	P40763	111
P27986	P63104	112
P27986	P61981	113
P61981	P00519	113
P27986	P38398	114
P38398	Q09472	114
P27986	P50570	115
P27986	Q9UBS5	116
Q9UBS5	P00519	116
P27986	P16871	117
P27986	P21333	118
P21333	P00519	118
P27986	Q14315	119
Q14315	P00519	119
P27986	Q9ULH1	120
Q9ULH1	P00519	120
P27986	P19793	121
P19793	P42229	121
P27986	P46531	122
P46531	Q09472	122
P27986	P29353	123
P27986	O00459	124
P27986	Q06124	125
P27986	Q9Y243	126
Q9Y243	O43524	126
P27986	P16471	127
P16471	P42229	127
P27986	Q13087	128
Q13087	P00519	128
P27986	P03372	129
P03372	Q09472	129
P27986	Q92918	130
Q92918	P00519	130
P27986	Q05193	131
Q05193	P00519	131
P27986	P31749	132
P31749	O43524	132
P27986	O15056	133
O15056	P00519	133
P27986	P31751	134
P31751	O43524	134
P27986	Q9H5I1	135
Q9H5I1	P00519	135
P27986	P30260	136
P30260	P00519	136
P27986	Q14008	137
Q14008	P00519	137
P27986	Q8WX92	138
Q8WX92	P00519	138
P27986	P49916	139
P49916	P00519	139
P27986	Q9Y2H0	140
Q9Y2H0	P00519	140
P27986	Q8IZD9	141
Q8IZD9	P00519	141
P27986	O43281	142
O43281	P00519	142
P27986	O14490	143
O14490	P00519	143
P27986	Q9NRJ4	144
Q9NRJ4	P00519	144
P27986	Q9H1R2	145
Q9H1R2	P00519	145
P27986	Q9BYB0	146
Q9BYB0	P00519	146
P27986	Q92988	147
Q92988	P00519	147
P27986	O43918	148
O43918	P00519	148
P27986	Q9P1A6	149
Q9P1A6	P00519	149
P27986	Q13023	150
Q13023	P00519	150
P27986	Q15036	151
Q15036	P00519	151
P27986	P15498	152
P27986	O15085	153
O15085	P00519	153
P27986	P20810	154
P20810	P00519	154
P27986	O95886	155
O95886	P00519	155
P27986	O43493	156
O43493	P00519	156
P27986	P29074	157
P29074	P00519	157
P27986	Q13905	158
Q13905	P00519	158
P27986	Q9Y5X2	159
Q9Y5X2	P00519	159
P27986	Q9BWW9	160
Q9BWW9	P00519	160
P27986	O60721	161
O60721	P00519	161
P27986	Q9ULD4	162
Q9ULD4	P00519	162
P27986	Q96RL7	163
Q96RL7	P00519	163
P10721	P62993	164
P62993	Q9NQ76	164
P62993	P27986	165
P62993	P19174	166
P62993	P46108	167
P62993	P06241	168
P62993	Q07890	169
P62993	O15524	170
P62993	P43403	171
P43403	P00519	171
P62993	P00533	172
P62993	P27361	173
P27361	O43524	173
P62993	P63104	174
P62993	P51587	175
P51587	P00519	175
P62993	P84022	176
P84022	O43524	176
P62993	P50570	177
P62993	Q9UBS5	178
P62993	Q13444	179
Q13444	P00519	179
P62993	P21333	180
P62993	Q14315	181
P62993	Q9ULH1	182
P62993	Q9Y478	183
Q9Y478	O43524	183
